event,date,doi,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub added,17:4:20,10.1109/tvcg.2015.2467757,,,
Pub added,17:4:20,10.1109/tvcg.2015.2467621,,,
Pub added,17:4:20,10.1002/asi.24171,,,
Pub added,17:4:20,10.2312/evp.20221110,,,
Update,17:4:20,,,,,4
Pub suggested,17:5:6,10.1109/tvcg.2016.2610422,4,1,
Pub suggested,17:5:6,10.1007/s12650-023-00941-3,4,2,
Pub suggested,17:5:6,10.1002/asi.20317,4,3,
Pub suggested,17:5:6,10.23919/fusion52260.2023.10224157,4,4,
Pub suggested,17:5:6,10.1145/3399715.3399830,4,5,
Pub suggested,17:5:6,10.1002/asi.22652,4,6,
Pub suggested,17:5:6,10.1093/iwc/iwad019,4,7,
Pub suggested,17:5:6,10.1145/3576840.3578309,4,8,
Pub suggested,17:5:6,10.1109/tvcg.2022.3209434,4,9,
Pub suggested,17:5:6,10.1145/3531073.3534466,4,10,
Pub suggested,17:5:6,10.1109/access.2022.3153027,4,11,
Pub suggested,17:5:6,10.1016/j.cag.2022.02.005,4,12,
Pub suggested,17:5:6,10.1007/s11192-021-03959-2,4,13,
Pub suggested,17:5:6,10.1145/3406522.3446037,4,14,
Pub suggested,17:5:6,10.1007/s12650-020-00688-1,4,15,
Pub suggested,17:5:6,10.1109/tvcg.2018.2873011,4,16,
Pub suggested,17:5:6,10.1109/access.2019.2929754,4,17,
Pub suggested,17:5:6,10.1109/tvcg.2018.2834341,4,18,
Pub suggested,17:5:6,10.1007/s00371-019-01721-7,4,19,
Pub suggested,17:5:6,10.1109/tvcg.2017.2752166,4,20,
Pub suggested,17:5:6,10.1145/3105971.3105981,4,21,
Pub suggested,17:5:6,10.1007/s12650-017-0462-2,4,22,
Pub suggested,17:5:6,10.15701/kcgs.2016.22.5.27,4,23,
Pub suggested,17:5:6,10.1109/tvcg.2012.324,4,24,
Pub suggested,17:5:6,10.1109/tvcg.2010.85,4,25,
Pub suggested,17:5:6,10.1145/223904.223912,4,26,
Pub suggested,17:5:6,10.1109/tvcg.2016.2598667,4,27,
Pub suggested,17:5:6,10.1109/tvcg.2012.252,4,28,
Pub suggested,17:5:6,10.3390/jpm12091359,4,29,
Pub suggested,17:5:6,10.1145/3472301.3484320,4,30,
Pub suggested,17:5:6,10.1111/cgf.13714,4,31,
Pub suggested,17:5:6,10.4018/978-1-5225-2058-0.ch001,4,32,
Pub suggested,17:5:6,10.1109/vast.2016.7883520,4,33,
Pub suggested,17:5:6,10.1109/pacificvis.2015.7156366,4,34,
Pub suggested,17:5:6,10.1109/tvcg.2013.167,4,35,
Pub suggested,17:5:6,10.1109/icpc.2013.6613834,4,36,
Pub suggested,17:5:6,10.1109/tvcg.2013.162,4,37,
Pub suggested,17:5:6,10.1109/vissoft.2013.6650545,4,38,
Pub suggested,17:5:6,10.1007/978-0-85729-079-3,4,39,
Pub suggested,17:5:6,10.1109/tvcg.2010.194,4,40,
Pub suggested,17:5:6,10.1109/tvcg.2009.202,4,41,
Pub suggested,17:5:6,10.1145/1056808.1057069,4,42,
Pub suggested,17:5:6,10.1016/j.ridd.2021.103854,4,43,
