event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub added,11:54:54,10.1109/tvcg.2014.2359887,,,,,
Pub added,11:54:54,10.1109/mcg.2015.51,,,,,
Pub added,11:54:54,10.1145/3154862.3154881,,,,,
Pub added,11:54:54,10.1145/3411764.3445421,,,,,
Pub added,11:54:54,10.1109/mcg.2017.23,,,,,
Pub added,11:54:54,10.1016/j.ijcci.2023.100565,,,,,
Pub added,11:54:54,10.2139/ssrn.4170548,,,,,
Pub added,11:54:54,10.14236/ewic/hci2018.17,,,,,
Pub added,11:54:54,10.1080/23729333.2023.2189431,,,,,
Pub added,11:54:54,10.1111/cgf.14297,,,,,
Pub added,11:54:54,10.1145/3357236.3395463,,,,,
Pub added,11:54:54,10.1111/cgf.13447,,,,,
Update,11:54:54,,,,,,,12
Pub suggested,11:55:0,10.1145/2030112.2030166,Understanding my data_ myself:  supporting self-reflection with ubicomp technologies,Li et al.,12,1,
Pub suggested,11:55:0,10.1109/mcg.2020.2968244,Reaching Broader Audiences with Data Visualization,Lee et al.,12,2,
Pub suggested,11:55:0,10.1145/3173574.3173728,Self-Reflection and Personal Physicalization Construction,Thudt et al.,12,3,
Pub suggested,11:55:0,10.1109/tvcg.2015.2467831,Visual Mementos: Reflecting Memories with Personal Data,Thudt et al.,12,4,
Pub suggested,11:55:0,10.1109/tvcg.2014.2352953,Activity Sculptures: Exploring the Impact of Physical Visualizations on Running Activity,Stusak et al.,12,5,
Pub suggested,11:55:0,10.1145/2556288.2557372,Understanding quantified-selfers' practices in collecting and exploring personal data,Choe et al.,12,6,
Pub suggested,11:55:0,10.1016/j.visinf.2023.01.002,INPHOVIS: Interactive visual analytics for smartphone-based digital phenotyping,Mansoor et al.,12,7,
Pub suggested,11:55:0,10.1145/3565066.3608700,Towards Efficient Interaction for Personal Health Data Queries on Smartwatches,Rey et al.,12,8,
Pub suggested,11:55:0,10.1145/3517233,Revisiting Reflection in HCI:  Four Design Resources for Technologies that Support Reflection,Bentvelzen et al.,12,9,
Pub suggested,11:55:0,10.1145/3569481,Investigating In-Situ Personal Health Data Queries on Smartwatches,Rey et al.,12,10,
Pub suggested,11:55:0,10.1145/3399715.3399921,Activity River:  Visualizing Planned and Logged Personal Activities for Reflection,Aseniero et al.,12,11,
Pub suggested,11:55:0,10.1145/3290605.3300363,Visually Encoding the Lived Experience of Bipolar Disorder,Snyder et al.,12,12,
Pub suggested,11:55:0,10.1145/3214273,Reflection Companion:  a Conversational System for Engaging Users in Reflection on Physical Activity,Kocielnik et al.,12,13,
Pub suggested,11:55:0,10.1080/03085147.2016.1143726,The diverse domains of quantified selves: self-tracking modes and dataveillance,Lupton,12,14,
