event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Keywords updated,13:44:26,,,,,,,CLUSTER_ CLASS|LABEL_ VISUAL
Pub added,13:44:26,10.1093/gigascience/giy083,,,,,
Pub added,13:44:26,10.1109/tvcg.2017.2744818,,,,,
Pub added,13:44:26,10.1186/1471-2105-16-s11-s5,,,,,
Update,13:44:26,,,,,,,3
Pub suggested,13:44:35,10.1111/j.1467-8659.2012.03125.x,A Taxonomy of Visual Cluster Separation Factors,Sedlmair et al.,3,1,
Pub suggested,13:44:35,10.1101/2021.03.22.436502,VICTOR: a visual analytics web application for comparing cluster sets,Karatzas et al.,3,2,
Pub suggested,13:44:35,10.1109/isspit47144.2019.9001791,Daily Routine Recognition with Visual Interactive Labeling by Fusing Acceleration and Audio Signals,Kuebert et al.,3,3,
Pub suggested,13:44:35,10.7717/peerj-cs.155,ClusterEnG: an interactive educational web resource for clustering and visualizing high-dimensional data,Manjunath et al.,3,4,
Pub suggested,13:44:35,10.1016/0377-0427(87)90125-7,Silhouettes: a graphical aid to the interpretation and validation of cluster analysis,Rousseeuw,3,5,
Pub suggested,13:44:35,10.1109/vis54862.2022.00023,Guided Data Discovery in Interactive Visualizations via Active Search,Monadjemi et al.,3,6,
Pub suggested,13:44:35,10.1101/2022.02.01.478732,A multi-omics approach to visualize early neuronal differentiation in 4D,Samara et al.,3,7,
Pub suggested,13:44:35,10.1109/vis49827.2021.9623326,Does the Layout Really Matter? a Study on Visual Model Accuracy Estimation,Grossmann et al.,3,8,
Pub suggested,13:44:35,10.1145/3340960,Interactive Clustering:  a Comprehensive Review,Bae et al.,3,9,
Pub suggested,13:44:35,10.1101/2020.03.14.991018,Differential encoding in prefrontal cortex projection neuron classes across cognitive tasks,Lui et al.,3,10,
Pub suggested,13:44:35,10.1109/mlui52768.2018.10075559,Speculative Execution for Guided Visual Analytics,Sperrle et al.,3,11,
Pub suggested,13:44:35,10.1109/tvcg.2017.2701829,A Perception-Driven Approach to Supervised Dimensionality Reduction for Visualization,Wang et al.,3,12,
Pub suggested,13:44:35,10.5220/0006116400750087,Visual-Interactive Similarity Search for Complex Objects by Example of Soccer Player Analysis,Bernard et al.,3,13,
Pub suggested,13:44:35,10.1111/j.1467-8659.2012.03110.x,StratomeX: Visual Analysis of Large‐Scale Heterogeneous Genomics Data for Cancer Subtype Characterization,Lex et al.,3,14,
Pub suggested,13:44:35,10.3115/1613715.1613855,An analysis of active learning strategies for sequence labeling tasks,Settles and Craven,3,15,
Pub suggested,13:44:35,10.1109/mc.2002.1016905,Interactively exploring hierarchical clustering results [gene identification],Jinwook Seo and Shneiderman,3,16,
Pub suggested,13:44:35,10.1145/304181.304187,OPTICS:  ordering points to identify the clustering structure,Ankerst et al.,3,17,
Pub suggested,13:44:35,10.1016/b978-1-55860-377-6.50027-x,Committee-Based Sampling for Training Probabilistic Classifiers,Dagan and Engelson,3,18,
Pub suggested,13:44:35,10.1111/j.1469-1809.1936.tb02137.x,The USE of MULTIPLE MEASUREMENTS in TAXONOMIC PROBLEMS,Fisher,3,19,
Pub suggested,13:44:35,10.1007/978-1-0716-3259-8_9,Standardization of Single-Cell RNA-Sequencing Analysis Workflow to Study Drosophila Ovary,Chatterjee and Deng,3,20,
