event,date,doi,title,author,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub added,17:33:15,10.1145/571647.571649,,,,,
Pub added,17:33:15,10.1145/102377.115768,,,,,
Pub added,17:33:15,10.1109/tvcg.2010.79,,,,,
Pub added,17:33:15,10.1145/3430036.3430041,,,,,
Pub added,17:33:15,10.1109/tvcg.2006.200,,,,,
Pub added,17:33:15,10.1109/visual.1991.175815,,,,,
Pub added,17:33:15,10.1109/tvcg.2010.186,,,,,
Pub added,17:33:15,10.1109/infvis.1999.801860,,,,,
Pub added,17:33:15,10.1007/978-3-7091-6783-0_4,,,,,
Pub added,17:33:15,10.1109/infvis.2001.963283,,,,,
Pub added,17:33:15,10.1109/tvcg.2012.108,,,,,
Pub added,17:33:15,10.1109/tvcg.2008.165,,,,,
Pub added,17:33:15,10.1145/3430036.3430054,,,,,
Pub added,17:33:15,10.1109/iv.2017.67,,,,,
Pub added,17:33:15,10.1109/pacificvis.2015.7156360,,,,,
Pub added,17:33:15,10.1109/pacificvis.2009.4906844,,,,,
Pub added,17:33:15,10.1109/visual.1992.235217,,,,,
Pub added,17:33:15,10.1007/s41651-020-00053-8,,,,,
Pub added,17:33:15,10.1145/3231622.3231638,,,,,
Pub added,17:33:15,10.1016/j.jvlc.2015.10.009,,,,,
Pub added,17:33:15,10.1177/1473871611424815,,,,,
Pub added,17:33:15,10.1109/tvcg.2007.70540,,,,,
Pub added,17:33:15,10.1145/2602161.2602183,,,,,
Pub added,17:33:15,10.3390/info11020123,,,,,
Pub added,17:33:15,10.1007/978-3-662-56689-3_3,,,,,
Pub added,17:33:15,10.1109/iv.2012.12,,,,,
Pub added,17:33:15,10.1109/iv.2009.22,,,,,
Pub added,17:33:15,10.1109/iv.2004.1320166,,,,,
Pub added,17:33:15,10.1145/3206505.3206591,,,,,
Pub added,17:33:15,10.1109/iv.2012.23,,,,,
Pub added,17:33:15,10.1007/978-3-642-25591-5_28,,,,,
Pub added,17:33:15,10.4113/jom.2010.1071,,,,,
Pub added,17:33:15,10.1057/palgrave.ivs.9500087,,,,,
Pub added,17:33:15,10.1006/ijhc.2000.0420,,,,,
Pub added,17:33:15,10.1002/col.22196,,,,,
Pub added,17:33:15,10.1016/j.comgeo.2013.12.008,,,,,
Pub added,17:33:15,10.1109/iv.2014.35,,,,,
Pub added,17:33:15,10.1145/2414536.2414592,,,,,
Pub added,17:33:15,10.1145/2945292.2945313,,,,,
Update,17:33:15,,,,,,,39
Pub suggested,17:33:23,10.1007/s12650-022-00868-1,Visual variables and configuration of software maps,Limberger et al.,39,1,
Pub suggested,17:33:23,10.1109/tvcg.2007.70529,Visualizing Changes of Hierarchical Data using Treemaps,Tu and Shen,39,2,
Pub suggested,17:33:23,10.1109/infvis.2005.1532128,Voronoi Treemaps,Balzer and Deussen,39,3,
Pub suggested,17:33:23,10.1145/632716.632834,Visualizing the stock market,Wattenberg,39,4,
Pub suggested,17:33:23,10.1109/infvis.2005.1532145,A note on space-filling visualizations and space-filling curves,Wattenberg,39,5,
Pub suggested,17:33:23,10.1109/infvis.2000.885091,Focus+context display and navigation techniques for enhancing radial_ space-filling hierarchy visualizations,Stasko and Zhang,39,6,
Pub suggested,17:33:23,10.1111/cgf.13989,Quantitative Comparison of Time‐Dependent Treemaps,Vernier et al.,39,7,
Pub suggested,17:33:23,10.1145/3105971.3105976,Map-like visualisations vs. treemaps:  an experimental comparison,Biuk-Aghai et al.,39,8,
Pub suggested,17:33:23,10.1007/978-3-319-57336-6_14,Effectiveness and Efficiency of Using Different Types of Rectangular Treemap as Diagrams in Cartography,Zhou et al.,39,9,
Pub suggested,17:33:23,10.1007/978-3-540-27795-8_6,Extending Tree-Maps to Three Dimensions: a Comparative Study,Bladh et al.,39,10,
