event,date,doi,selectedPublicationsCount,posInSuggestions,activationSourceComponent,actionDetails
Pub qd for selected,12:22:2,10.1201/b17333-18,0,0,import
Pub qd for selected,12:22:5,10.1080/01621459.2019.1604370,0,0,import
Pub qd for selected,12:22:9,10.1002/0471667196.ess0699.pub2,0,0,import
Pub added,12:22:10,10.1201/b17333-18,,,
Pub added,12:22:10,10.1080/01621459.2019.1604370,,,
Pub added,12:22:10,10.1002/0471667196.ess0699.pub2,,,
Update,12:22:10,,,,,3
Pub suggested,12:22:23,10.1016/j.joi.2022.101254,3,1,
Pub suggested,12:22:23,10.1007/s00477-021-02164-0,3,2,
Pub suggested,12:22:23,10.1016/j.csda.2021.107381,3,3,
Pub suggested,12:22:23,10.1002/sim.9089,3,4,
Pub suggested,12:22:23,10.1007/978-3-030-83819-5_5,3,5,
Pub suggested,12:22:23,10.3390/e24010042,3,6,
Pub suggested,12:22:23,10.1080/08982112.2021.1896732,3,7,
Pub suggested,12:22:23,10.3390/e23091167,3,8,
Pub suggested,12:22:23,10.1111/jtsa.12625,3,9,
Pub suggested,12:22:23,10.3390/e22040458,3,10,
Pub suggested,12:22:23,10.1002/9781119097013,3,11,
Pub suggested,12:22:23,10.1007/s11135-014-0040-9,3,12,
Pub suggested,12:22:23,10.1016/j.csda.2013.07.009,3,13,
Pub suggested,12:22:23,10.1080/00949650903384119,3,14,
Pub suggested,12:22:23,10.1007/978-3-642-04898-2_608,3,15,
Pub suggested,12:22:23,10.1109/bioms.2011.6052385,3,16,
Pub suggested,12:22:23,10.1002/9780470594001,3,17,
Pub suggested,12:22:23,10.1007/s10182-008-0055-4,3,18,
Pub suggested,12:22:23,10.1214/009053607000000505,3,19,
Pub suggested,12:22:23,10.1080/01966324.2002.10737574,3,20,
Pub suggested,12:22:23,10.1080/00207540210137602,3,21,
Pub suggested,12:22:23,10.1007/s003579900006,3,22,
Pub suggested,12:22:23,10.2466/pms.1996.82.2.411,3,23,
Pub suggested,12:22:23,10.2466/pms.1995.80.3.843,3,24,
Pub suggested,12:22:23,10.1515/jbnst-1994-0102,3,25,
Pub suggested,12:22:23,10.4135/9781412983617,3,26,
Pub suggested,12:22:23,10.1515/jbnst-1991-0307,3,27,
Pub suggested,12:22:23,10.1016/0040-5809(82)90004-1,3,28,
Pub suggested,12:22:23,10.1214/aos/1176343240,3,29,
Pub suggested,12:22:23,10.2307/2092993,3,30,
Pub suggested,12:22:23,10.1037/h0026256,3,31,
Pub suggested,12:22:23,10.1214/aoms/1177699260,3,32,
Pub suggested,12:22:23,10.1093/biomet/45.3-4.549,3,33,
Pub suggested,12:22:23,10.1093/biomet/41.3-4.403,3,34,
Pub suggested,12:22:23,10.1214/aoms/1177729080,3,35,
Pub suggested,12:22:23,10.1214/aoms/1177729346,3,36,
Pub suggested,12:22:23,10.1093/biomet/28.3-4.428,3,37,
Keywords updated,12:22:44,,,,,ordinal_ distance
Pub suggested,12:22:44,10.1016/j.csda.2021.107381,3,1,
